user_number,session_group,trialIndex,tubeTypeIndex,tip_direction,face_id,faceSide,towards_away,raw_angle,latency
13,AT004,12,1,left,ID001,left,towards,-9,7257
13,AT004,13,0,right,ID022,right,towards,5,3012
13,AT004,14,1,right,ID022,right,towards,6,4911
13,AT004,15,0,left,ID001,left,towards,-5,2492
13,AT004,16,2,left,ID001,right,away,-4,5524
13,AT004,17,0,left,ID022,right,away,-6,3253
13,AT004,18,3,right,ID022,right,towards,-15,3722
13,AT004,19,1,left,ID001,right,away,-5,2054
13,AT004,20,3,left,ID022,left,towards,-17,4273
13,AT004,21,0,right,ID001,right,towards,5,2116
13,AT004,22,2,left,ID022,left,towards,-5,2739
13,AT004,23,3,right,ID001,right,towards,12,3025
13,AT004,24,3,left,ID001,right,away,-12,4092
13,AT004,25,0,right,ID022,left,away,5,2592
13,AT004,26,1,left,ID022,left,towards,-6,3243
13,AT004,27,1,right,ID001,left,away,4,1787
13,AT004,28,2,right,ID001,left,away,6,3653
13,AT004,29,1,left,ID022,right,away,-7,2896
13,AT004,30,3,left,ID001,left,towards,-11,3067
13,AT004,31,2,left,ID022,right,away,-7,2660
14,AT004,0,3,left,ID022,right,away,0,137527
14,AT004,1,1,left,ID001,right,away,-2,13221
14,AT004,2,1,right,ID001,right,towards,3,5255
14,AT004,3,2,left,ID022,right,away,-3,7328
14,AT004,4,1,left,ID022,right,away,-1,6160
14,AT004,5,3,right,ID001,left,away,1,3024
14,AT004,6,1,right,ID001,left,away,2,6031
14,AT004,7,2,right,ID022,right,towards,0,3463
14,AT004,8,0,left,ID001,left,towards,-1,3480
14,AT004,9,3,right,ID022,left,away,2,11464
14,AT004,10,3,right,ID022,right,towards,2,1976
14,AT004,11,0,right,ID022,right,towards,2,2072
14,AT004,12,1,left,ID022,left,towards,-2,2096
14,AT004,13,2,right,ID001,right,towards,2,1735
14,AT004,14,0,left,ID022,left,towards,-2,1487
14,AT004,15,2,left,ID001,right,away,-2,1791
14,AT004,16,1,left,ID001,left,towards,-2,2311
14,AT004,17,0,right,ID022,left,away,2,1711
14,AT004,18,0,left,ID001,right,away,-2,18992
14,AT004,19,1,right,ID022,left,away,2,3120
14,AT004,20,1,right,ID022,right,towards,2,2248
14,AT004,21,2,left,ID001,left,towards,-2,2872
14,AT004,22,3,left,ID001,left,towards,-1,2424
14,AT004,23,0,right,ID001,right,towards,2,2104
14,AT004,24,3,left,ID001,right,away,-55,11751
14,AT004,25,0,left,ID022,right,away,-55,10415
14,AT004,26,3,left,ID022,left,towards,-71,5279
14,AT004,27,2,left,ID022,left,towards,-68,5159
14,AT004,28,2,right,ID022,left,away,74,5408
14,AT004,29,0,right,ID001,left,away,42,12216
14,AT004,30,2,right,ID001,left,away,78,5767
14,AT004,31,3,right,ID001,right,towards,67,5447
15,AT004,0,1,left,ID022,right,away,-13,7213841
15,AT004,1,3,right,ID001,left,away,15,7071
15,AT004,2,1,left,ID022,left,towards,-9,3392
15,AT004,3,0,right,ID001,right,towards,4,2208
15,AT004,4,3,left,ID001,left,towards,-15,4032
15,AT004,5,1,right,ID001,left,away,6,3182
15,AT004,6,2,right,ID001,left,away,6,8927
15,AT004,7,3,left,ID001,right,away,-13,3567
15,AT004,8,0,left,ID022,left,towards,-6,5518
15,AT004,9,2,left,ID022,left,towards,-6,2976
15,AT004,10,1,left,ID001,left,towards,-11,3919
15,AT004,11,0,left,ID022,right,away,-6,5727
15,AT004,12,2,right,ID022,right,towards,5,3951
15,AT004,13,1,left,ID001,right,away,-11,3231
15,AT004,14,0,right,ID022,left,away,3,2880
15,AT004,15,3,right,ID022,left,away,8,2015
15,AT004,16,1,right,ID001,right,towards,8,2032
15,AT004,17,0,right,ID001,left,away,4,1759
15,AT004,18,3,right,ID022,right,towards,8,2448
15,AT004,19,2,left,ID001,left,towards,-4,1790
15,AT004,20,2,right,ID001,right,towards,3,2111
15,AT004,21,0,right,ID022,right,towards,5,1919
15,AT004,22,0,left,ID001,left,towards,-5,2015
15,AT004,23,3,left,ID022,right,away,-7,3823
15,AT004,24,1,right,ID022,left,away,7,3167
15,AT004,25,0,left,ID001,right,away,-4,1839
15,AT004,26,1,right,ID022,right,towards,7,2254
15,AT004,27,3,left,ID022,left,towards,-7,2593
15,AT004,28,2,left,ID022,right,away,-6,2415
15,AT004,29,2,right,ID022,left,away,6,1807
15,AT004,30,3,right,ID001,right,towards,6,2799
15,AT004,31,2,left,ID001,right,away,-5,2400
16,AT004,0,0,right,ID022,left,away,29,118238
16,AT004,1,0,left,ID022,right,away,-28,2729
16,AT004,2,2,right,ID001,left,away,28,4173
16,AT004,3,1,left,ID001,right,away,-41,3080
16,AT004,4,3,right,ID001,right,towards,46,3487
16,AT004,5,3,right,ID022,left,away,47,3192
16,AT004,6,0,right,ID001,right,towards,33,3423
16,AT004,7,1,left,ID001,left,towards,-28,2632
16,AT004,8,1,right,ID022,right,towards,35,2775
16,AT004,9,3,left,ID001,right,away,-45,2720
16,AT004,10,1,left,ID022,right,away,-53,3543
16,AT004,11,0,left,ID001,right,away,-29,2993
16,AT004,12,3,right,ID022,right,towards,45,2792
16,AT004,13,2,left,ID022,right,away,-38,2592
16,AT004,14,2,left,ID001,right,away,-42,3063
16,AT004,15,3,right,ID001,left,away,46,3096
16,AT004,16,0,right,ID022,right,towards,21,2249
16,AT004,17,2,left,ID001,left,towards,-30,2768
16,AT004,18,1,right,ID022,left,away,29,2512
16,AT004,19,0,right,ID001,left,away,22,2296
16,AT004,20,2,left,ID022,left,towards,-35,2416
16,AT004,21,2,right,ID001,right,towards,33,2583
16,AT004,22,3,left,ID022,right,away,-56,3241
16,AT004,23,0,left,ID022,left,towards,-33,2576
16,AT004,24,1,left,ID022,left,towards,-47,3135
16,AT004,25,3,left,ID022,left,towards,-57,3152
16,AT004,26,1,right,ID001,left,away,38,2511
16,AT004,27,3,left,ID001,left,towards,-58,3376
16,AT004,28,0,left,ID001,left,towards,-30,2295
16,AT004,29,1,right,ID001,right,towards,31,2104
16,AT004,30,2,right,ID022,left,away,-37,2257
16,AT004,31,2,right,ID022,right,towards,31,2469
17,AT004,0,0,left,ID022,left,towards,-13,89908
17,AT004,1,3,right,ID022,left,away,14,9691
17,AT004,2,1,right,ID022,right,towards,17,12772
17,AT004,3,1,right,ID001,right,towards,23,8098
17,AT004,4,3,left,ID022,right,away,-14,6482
17,AT004,5,2,left,ID001,left,towards,-16,6034
17,AT004,6,3,right,ID022,right,towards,16,5748
17,AT004,7,1,left,ID022,left,towards,-16,4095
17,AT004,8,2,right,ID001,left,away,17,4323
17,AT004,9,0,left,ID022,right,away,-13,6108
